Country Code,Country Name,Region,rank_balanced,target_tuition_usd,compact_capex_usd_mn,compact_capex_rub_mn,compact_opex_usd_mn,compact_opex_rub_mn,compact_breakeven_students,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,campus_capex_usd_mn,campus_capex_rub_mn,campus_opex_usd_mn,campus_opex_rub_mn,campus_breakeven_students
RWA,Rwanda,Sub-Saharan Africa,58,3000.0,1.9348951496188111,141.91217589558224,0.5520396456745047,40.4885749564926,184.0,4.4622378740470285,327.27658973895564,0.9810179107722767,71.95138524051755,327.0,13.032634330792074,955.8603193038815,2.412237874047028,176.9222097389556,804.0
CMR,Cameroon,Sub-Saharan Africa,59,3000.0,2.0393760936287473,149.5751844606694,0.5955733723453113,43.681495191945565,199.0,4.723440234071868,346.4341111516734,1.0738898610033307,78.76294840948388,358.0,13.729173957524981,1006.9470430711292,2.673440234071868,196.07973115167343,891.0
MUS,Mauritius,Sub-Saharan Africa,60,5042.008436513384,2.127875837541854,156.06607427833472,0.6324482656424391,46.38603261597279,125.0,4.944689593854634,362.6613356958367,1.1525563000372034,84.53262824740862,229.0,14.319172250279026,1050.2196418555648,2.8946895938546344,212.30695569583676,574.0
CUB,Cuba,Latin America & Caribbean,61,4164.256637027377,2.029489680620138,148.85007933953113,0.591454033591724,43.37936805813796,142.0,4.698724201550344,344.6213483488278,1.0651019383290112,78.11841052402767,256.0,13.663264537467585,1002.1130089302075,2.648724201550344,194.2669683488278,636.0
UGA,Uganda,Sub-Saharan Africa,62,3000.0,2.0427542448968006,149.82295023601299,0.5969809353736668,43.784730931672065,199.0,4.731885612242001,347.0535255900324,1.0768926621304893,78.98318465423375,359.0,13.75169496597867,1008.5988149067531,2.681885612242001,196.6991455900324,894.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,63,3000.0,2.0918774070295885,153.42581979021531,0.6174489195956618,45.28592657925638,206.0,4.8546935175739705,356.06069947553823,1.1205576951374119,82.18573536908028,374.0,14.079182713530589,1032.617945268102,2.8046935175739707,205.70631947553827,935.0
LKA,Sri Lanka,South Asia,64,3000.0,1.9699407698765374,144.4825478495168,0.5666419874485573,41.559563270632005,189.0,4.549851924691344,333.70251962379206,1.012169573223589,74.23616031068161,337.0,13.266271799176916,972.996132330112,2.4998519246913435,183.348139623792,833.0
ZMB,Zambia,Sub-Saharan Africa,65,3000.0,1.9569635439909687,143.530751385056,0.561234809996237,41.162981410440004,187.0,4.517408859977422,331.32302846264,1.0006342613253056,73.39011900893868,334.0,13.179756959939793,966.6508225670401,2.4674088599774215,180.96864846264,822.0
NPL,Nepal,South Asia,66,3000.0,1.904127599563824,139.65557301136928,0.5392198331515933,39.5483237547372,180.0,4.385318998909559,321.63508252842314,0.9536689773900657,69.94551601010602,318.0,12.827517330425493,940.8163000757952,2.3353189989095595,171.28070252842315,778.0
BEN,Benin,Sub-Saharan Africa,67,3000.0,2.0529192967455545,150.56849173278724,0.6012163736439811,44.095373221994684,200.0,4.757298241863886,348.91737933196805,1.0859282637738263,79.64588820692201,362.0,13.819461978303696,1013.5690915519149,2.707298241863886,198.5629993319681,902.0
ETH,Ethiopia,Sub-Saharan Africa,68,3000.0,2.0708265715652043,151.88187573424972,0.6086777381521683,44.642616555937366,203.0,4.80206642891301,352.2008393356242,1.1018458413912926,80.8133406526664,367.0,13.938843810434694,1022.3249848949979,2.75206642891301,201.84645933562425,917.0
MRT,Mauritania,Sub-Saharan Africa,69,3000.0,1.9654490579686588,144.15310952803011,0.5647704408202745,41.42229730334588,188.0,4.538622644921647,332.8789238200753,1.0081769404165857,73.94332624713789,336.0,13.236327053124393,970.7998768535342,2.488622644921647,182.5245438200753,830.0
NAM,Namibia,Sub-Saharan Africa,70,3000.0,2.12972105962185,156.2014095084811,0.6332171081757707,46.44242229520045,211.0,4.949302649054625,362.99967377120277,1.1541964974416445,84.652926229761,385.0,14.331473730812334,1051.1218767232074,2.8993026490546248,212.64529377120277,966.0
LBN,Lebanon,Middle East & North Africa,71,3000.0,1.947812166662956,142.85955642686116,0.557421736109565,40.88331684452549,186.0,4.4945304166573905,329.645041067153,0.9924997037004055,72.79350126832105,331.0,13.118747777753041,962.1761895124079,2.4445304166573902,179.29066106715297,815.0
BOL,Bolivia,Latin America & Caribbean,72,3000.0,2.0679782937494613,151.67297278544297,0.6074909557289421,44.55557366060123,202.0,4.794945734373653,351.6785819636074,1.09931403888841,80.62764914261598,366.0,13.919855291663074,1020.9322985696198,2.744945734373653,201.32420196360744,915.0
SLV,El Salvador,Latin America & Caribbean,73,3000.0,2.207189907415785,161.88325369354035,0.6654957947565769,48.80985737230847,222.0,5.142974768539462,377.20428423385084,1.2230576954806978,89.7034543942581,408.0,14.847932716105232,1089.0008379569356,3.092974768539462,226.84990423385088,1031.0
GUY,Guyana,Latin America & Caribbean,74,12693.00987116649,2.116401517632029,155.22450634859646,0.6276672990133454,46.03537931191519,49.0,4.916003794080073,360.5574158714912,1.1423569045618036,83.78456786541909,90.0,14.242676784213526,1044.6091889906431,2.866003794080072,210.20303587149115,226.0
HND,Honduras,Latin America & Caribbean,75,3000.0,2.273880215939167,166.77456100575588,0.6932834233079862,50.84790208573161,231.0,5.309700539847917,389.43255251438967,1.282337969723704,94.05128311622745,427.0,15.29253477292778,1121.609553371706,3.259700539847917,239.07817251438968,1087.0
NER,Niger,Sub-Saharan Africa,76,3000.0,2.0956242357750994,153.70062569899457,0.6190100982396247,45.40042904124773,206.0,4.864060589437749,356.74771424748644,1.1238882095778662,82.43000728799518,375.0,14.104161571833995,1034.4499846599638,2.814060589437748,206.3933342474864,938.0
BFA,Burkina Faso,Sub-Saharan Africa,77,3000.0,2.060377411298495,151.1154967033123,0.604323921374373,44.32329195971346,201.0,4.775943528246238,350.2848917582807,1.0925576989319956,80.1321148473887,364.0,13.869182741989968,1017.2157913554154,2.725943528246238,199.93051175828074,909.0
MDG,Madagascar,Sub-Saharan Africa,78,3000.0,1.9708165686482777,144.54678208431181,0.567006903603449,41.58632753512992,189.0,4.552041421620694,333.8631052107795,1.0129480610206913,74.29325740827717,338.0,13.272110457655184,973.4243605620787,2.502041421620694,183.50872521077952,834.0
TGO,Togo,Sub-Saharan Africa,79,3000.0,2.0486961760459748,150.25875285744556,0.5994567400191562,43.96631535726898,200.0,4.746740440114937,348.1430321436139,1.082174378707533,79.37056476217381,361.0,13.791307840306498,1011.5041657163036,2.6967404401149366,197.78865214361386,899.0
AFG,Afghanistan,Middle East & North Africa,80,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
MLI,Mali,Sub-Saharan Africa,81,3000.0,2.0444041704202034,149.9439617136312,0.5976684043417514,43.83515238067967,199.0,4.736010426050509,347.3560542840781,1.0783592625957366,79.09075041211666,359.0,13.762694469468023,1009.4055580908748,2.686010426050508,197.00167428407804,895.0
BWA,Botswana,Sub-Saharan Africa,82,3252.330912857098,2.124470089974465,155.81628449105114,0.631029204156027,46.28195353793798,194.0,4.936175224936163,362.0368612276279,1.149528968866191,84.31059288093435,353.0,14.296467266496434,1048.5543766070077,2.8861752249361623,211.6824812276279,887.0
LAO,Lao PDR,East Asia & Pacific,83,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
MOZ,Mozambique,Sub-Saharan Africa,84,3000.0,2.1432172549493447,157.19126906010274,0.6388405228955601,46.8548637750428,213.0,4.983043137373361,365.4743226502568,1.1661931155105285,85.532801386758,389.0,14.421448366328963,1057.7209404006849,2.933043137373361,215.11994265025683,978.0
TJK,Tajikistan,Europe & Central Asia,85,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
