Country Code,Country Name,Region,IncomeGroup,student_pool_2026,student_pool_2035,student_pool_2050,student_pool_growth_2026_2050_pct,gdp_pc_ppp,gdp_growth,trade_gdp,services_share,tertiary_enrollment,internet_users,urban_share,gov_effectiveness,reg_quality,rule_of_law,pol_stability,target_tuition_usd,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,data_coverage_pct
KHM,Cambodia,East Asia & Pacific,Lower middle income,3646600.621301555,3744508.634000232,3826536.2852984937,4.934339750447236,7008.889345517265,5.97510939607335,143.44700970301105,35.59472224389468,21.4437426836662,68.47530365,40.8727033252729,-2.1411200165748614,-4.792328894138337,-5.733892083168032,0.3114567436277863,3000.0,4.734328652008869,347.23270692147764,1.0777612984920424,79.04689357208096,359.0,100.0
TUN,Tunisia,Middle East & North Africa,Lower middle income,2035770.364564828,1922083.372601629,1834132.4635286413,-9.904746848954604,12774.915856802114,1.6144456497698627,106.29854920424688,62.60742636169368,38.1219482421875,76.5,70.3585355691955,-2.103605598211285,-4.3339284658432,-0.972882330417634,-4.416657745838163,3000.0,4.545717239262169,333.3992669095488,1.010699462848771,74.12833712339513,337.0,100.0
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,7445571.063742047,10828856.182047512,14774531.833933804,98.43383009104365,4454.853732714638,0.7327813018613654,35.60946807999561,44.93905348548575,43.7606582641602,33.77000046,72.0761345758254,-12.51713478565214,-12.670790672302282,-14.246260643005373,-19.25424742698667,3000.0,4.375,320.87825,0.95,69.67642,317.0,100.0
PAK,Pakistan,Middle East & North Africa,Lower middle income,60698989.23416279,68642028.4713762,75935187.15538725,25.101238280009408,5500.323948242852,3.048982873354646,27.578468352069503,50.73193893423793,10.8564126844434,57.253,39.1734368360905,-4.044532656669617,-6.307057321071626,-6.019198596477508,-13.52911555767058,3000.0,4.375,320.87825,0.95,69.67642,317.0,100.0
GTM,Guatemala,Latin America & Caribbean,Upper middle income,4604435.349385929,5025901.465023717,5400093.653317491,17.28025791561336,12640.887502314612,3.651863828948194,47.344196760267046,61.83986165460102,27.2948879201171,60.22140121,55.9547027274763,-6.280170857906343,-2.032484561204909,-7.52693963050841,-1.710554525256157,3000.0,5.176074847645689,379.6319631957863,1.234826612496245,90.5666291362796,412.0,100.0
PRY,Paraguay,Latin America & Caribbean,Upper middle income,1429689.421772058,1406015.2407915697,1386977.7447129935,-2.987479406969717,16296.283618926347,4.249960104640721,76.83115654306243,48.745130179115584,37.6179261040957,81.57806793,69.8622585886961,-3.2344575822353336,-0.5525754392147065,-4.075222194194795,0.5742914006114005,3000.0,4.808677072869062,352.68568776167933,1.1041962925756668,80.98573120415267,368.0,100.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,84462.39736018456,78040.36120881274,73173.01400803599,-13.366164950310033,79071.7333801445,4.052517093067266,132.5874396422447,38.95329126072233,36.4182725443167,96.29828801,74.8983133873697,9.8125092983246,6.83824145793915,6.207976698875427,9.562004566192613,14000.0,4.909898668887136,360.1096440113905,1.140186193382093,83.62536009293886,81.0,100.0
LBY,Libya,Middle East & North Africa,Upper middle income,1563823.4559120503,1726152.1728920368,1871810.890353604,19.694514318557133,12583.83387268161,1.8999505202544211,128.81617584293642,28.339991463935128,58.543701171875,81.95449829,87.8854066107749,-11.451223373413107,-13.6214282512665,-12.388432741165182,-15.1761083602905,3000.0,5.316669015101422,389.9436455759927,1.2848156498138392,94.23300509368627,428.0,100.0
RWA,Rwanda,Sub-Saharan Africa,Low income,3595444.691720412,4377375.885086074,5147469.444942419,43.16641990894781,3264.6445147439244,8.890655295731136,69.95441356805613,47.550146937663165,9.41173924647801,31.70330048,29.8849714294083,2.7185385227203347,0.8730221614241609,1.4360531866550448,0.7566403150558489,3000.0,4.4622378740470285,327.27658973895564,0.9810179107722768,71.95138524051755,327.0,100.0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,7119656.113637435,8808310.012363473,10496961.483707434,47.43635529812875,4916.9335401949365,3.524723080522449,34.40317859154232,50.71914395875753,16.6614294830602,46.25880051,55.4031748609078,-6.343838036060335,-6.394311070442198,-7.26738512516023,-9.803054809570328,3000.0,4.723440234071868,346.4341111516734,1.0738898610033307,78.76294840948388,358.0,100.0
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,213665.74625609643,193236.33392599013,178064.1863085954,-16.662268319241747,28011.15798062992,4.925123048642945,145.4217003011527,64.3722524144138,45.7771156388358,73.30793533,39.0162147027917,4.970963239669799,7.451350450515721,5.636879682540895,5.427931725978852,5042.008436513384,4.944689593854634,362.6613356958367,1.1525563000372034,84.53262824740862,229.0,100.0
CUB,Cuba,Latin America & Caribbean,Upper middle income,1495627.981760983,1306076.7721279543,1169905.9951721155,-21.77827578522269,23134.759094596546,-1.0617327322052432,124.86323886505312,73.39182364773798,43.1040700506779,70.47699738,77.1664929228275,-3.328694760799408,-10.509533762931838,-3.1712743937969217,2.6895116567611668,4164.256637027377,4.698724201550344,344.6213483488278,1.0651019383290112,78.11841052402767,256.0,93.33333333333331
UGA,Uganda,Sub-Saharan Africa,Low income,13463783.63658268,17257181.59208019,21180307.11889607,57.31318692129521,2879.670092903761,6.055580758755895,42.652788908856174,43.1413581135321,4.61899995803833,8.949831061,31.2777698213557,-3.846560001373292,-3.621557354927064,-3.324480921030045,-4.86854267120361,3000.0,4.731885612242001,347.0535255900324,1.0768926621304893,78.98318465423375,359.0,100.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,25856773.599316392,33144118.23099489,40681162.03186994,57.33270771626928,1602.0749798949962,6.12675551779212,100.55408831727506,46.57245937410286,6.37987995147705,19.67350006,44.7455804408753,-11.82346403598787,-9.86002957820895,-11.69515335559844,-14.314034223556549,3000.0,4.8546935175739705,356.06069947553823,1.120557695137412,82.18573536908028,374.0,100.0
