origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
LKA,Sri Lanka,South Asia,7.581097,80.704823,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.94935356844768,2.1528098088585206,61.13902973735505,62,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GIN,Guinea,Sub-Saharan Africa,10.618516,-10.016402,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.16722749837433,2.134429846211797,60.90355229357945,63,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BDI,Burundi,Sub-Saharan Africa,-3.332836,29.917086,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.903480993309024,2.128231803342762,60.88404510415803,64,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GTM,Guatemala,Latin America & Caribbean,14.982133,-90.497134,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.44424545256619,2.1409397681353055,60.09574051629457,65,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
NPL,Nepal,South Asia,28.297925,83.639914,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.08402037108814,2.1794744787205715,60.0050931284797,66,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GNB,Guinea-Bissau,Sub-Saharan Africa,12.163712,-14.52413,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,55.17279271629153,1.946560628832851,59.92934147039337,67,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BTN,Bhutan,South Asia,27.536685,90.040294,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,50.59190519872273,1.838909772169984,59.73562139172097,68,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TGO,Togo,Sub-Saharan Africa,8.80722,1.058113,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.441313479253544,2.0703708667624583,59.66808935729687,69,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ECU,Ecuador,Latin America & Caribbean,-1.259076,-78.188375,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.21029917587,2.111942030632945,59.32890819927359,70,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
COM,Comoros,Sub-Saharan Africa,-11.727683,43.318094,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,50.71739017889808,1.8418586692041048,59.02439759707752,71,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
