iso3,country,recommended_format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
HUN,Hungary,partner_embedded_branch,600,2008148.6724143384,1711444.9996995023,0.7958170139884677,0.06669492885567013,147536473.9987418,6198.148233456821,25.0,33.33712304253692,0.00012788591913845342,260814.38636353298,0.08,318363.2930828476,654978.572674582,-284216.9937777679,-4272062.013406377,-313863696.8567518,-4466189.52180154,-328126031.3582852,-5129578.014688443,-3897696.320051763,0.0,inf,-1.375498005635047,131.80661767791457,0.11
IDN,Indonesia,partner_embedded_branch,600,1721044.852089301,1425876.6463692568,0.5612452746451648,0.09728021225120304,126443272.13366365,5355.095315135381,64.28498072103704,489.55597118144317,0.00012742195901306307,3844007.5208474323,0.08,2636754.132259486,896762.8101179451,1811732.3469509762,4580875.403643986,336551876.94277966,3623542.461174199,266217678.72576112,2457626.8418339947,5191788.849387663,1.0,4.0,0.6910738839282109,105.20151114981506,0.11
IMN,Isle of Man,partner_embedded_branch,600,2057768.6436379526,1755922.930944999,0.8316653523169946,0.06536496219502325,151181998.70257238,6255.530380077814,25.0,0.3349992969332835,0.00010106534446022388,3316.4067422309013,0.08,122011.77434810002,638399.2332323875,-465315.52022569644,-5072282.8495603325,-372655041.44606316,-5393305.7216604,-396240238.73409575,-5885631.971371144,-4768812.574818338,0.0,inf,-222.04423664042952,137.6928741594357,0.11
IND,India,partner_embedded_branch,600,1667963.3077023032,1365169.9094939,0.5099906445524391,0.1107264152134038,122543429.45724975,5131.718318167629,181.9194572445319,600.0,0.0001305029568884198,10621302.750913672,0.08,3075869.7512645544,912741.9960065095,2236147.1149385655,8946007.262011614,657253312.932005,8771089.51398499,644402298.3940119,7961056.420490162,10179405.241457071,1.0,2.0,0.7262502785931755,99.84204410811812,0.11
IRL,Ireland,partner_embedded_branch,600,2495107.4891013806,2212586.9339079517,1.205035385459286,0.025170808335377395,183312802.60604042,7492.646676867651,25.0,42.33234188731695,0.00011023852156629723,384206.8194895909,0.08,424494.0295353894,973634.0625064035,-471249.30797050183,-5985717.560336606,-439764084.8686141,-5971524.376054371,-438721327.231901,-6963639.960836394,-4941518.147998498,0.0,inf,-1.485741235524299,170.89858412818114,0.11
IRN,"Iran, Islamic Rep.",partner_embedded_branch,600,1864025.294804508,1473594.3049051194,0.5888842660019755,0.14995588961059964,136947887.98146293,5475.551064739519,28.99338897684394,220.79631259429283,0.00013068625709133626,1690394.4212976426,0.08,1280622.2251355902,702116.2024801048,634675.3188538938,-334517.5228736492,-24576634.43625185,-1315914.071842151,-96678759.35276382,-1843986.1515596602,-452327.4948147481,0.0,8.0,0.5249669469568857,113.79049341000297,0.11
IRQ,Iraq,partner_embedded_branch,600,1875819.397957937,1460564.6533772354,0.5749406134418411,0.16755554629973604,137814387.7666319,5277.689665290445,25.0,23.71961840381772,0.0001185574832963876,200172.71542876764,0.08,240177.39351788335,505819.73717913637,-225176.76468692214,-3686061.6051674397,-270810891.46388614,-3909251.0757200695,-287208376.35697025,-4367841.610304373,-3595970.3844420942,0.0,inf,-1.7987550551034166,117.36917957498308,0.11
ISL,Iceland,partner_embedded_branch,600,2399493.268933093,2146391.446140376,1.1538550307084898,0.016290631019054227,176288131.02591854,6714.636567058371,25.0,2.145421571322,0.00010078830105796679,21297.50224752425,0.08,133829.49708917234,848394.0652600834,-646693.0429501045,-6500394.086545227,-477576803.1049827,-6664509.656108582,-489634193.47367585,-7111374.903807393,-6036877.025518765,0.0,inf,-44.89138811259945,185.88157359687585,0.11
ISR,Israel,partner_embedded_branch,600,2372965.8761420036,2014318.1441032253,1.037263751832545,0.07095381725017592,174339192.65768924,6321.404027333335,25.0,53.28402972142279,0.00014529158593364777,366929.6037400659,0.08,443356.6848706091,891015.161414258,-376377.2636305082,-5349470.5617059795,-393019717.7509205,-5307618.976579755,-389944927.82844037,-5969110.433095278,-4755600.527210913,0.0,inf,-1.1174105561784524,183.56870056341975,0.11
ITA,Italy,partner_embedded_branch,600,2199750.3040450043,1877681.215287353,0.92914044436904,0.065022639304212,161613235.11285204,6420.640598624633,26.207072555105217,199.57739292497854,9.515176919214211e-05,2098556.333145748,0.08,1350158.1231185065,1018448.4934640094,413185.50913161784,-1946941.961287274,-143039684.2596186,-1728998.025361488,-127027583.02548064,-2777921.1723094787,-337342.68905361893,0.1,inf,0.3224447990155988,153.85901127463373,0.11
